Kanton,Gemeinde,Spezialfall_de,Spezialfall_a,Spezialfall_Name
Vaud,Echichens,d'Echichens,,
Vaud,Eclépens,d'Eclépens,,
Vaud,Ecublens (VD),d'Ecublens (VD),,
Vaud,Epalinges,d'Epalinges,,
Vaud,Ependes (VD),d'Ependes (VD),,
Vaud,Essertes,d'Essertes,,
Vaud,Essertines-sur-Rolle,d'Essertines-sur-Rolle,,
Vaud,Essertines-sur-Yverdon,d'Essertines-sur-Yverdon,,
Vaud,Etagnières,d'Etagnières,,
Vaud,Etoy,d'Etoy,,
Vaud,Eysins,d'Eysins,,
Vaud,Faoug,,,
Vaud,Féchy,,,
Vaud,Ferreyres,,,
Vaud,Fey,,,
Vaud,Fiez,,,
Vaud,Fontaines-sur-Grandson,,,
Vaud,Forel (Lavaux),,,
Vaud,Founex,,,
Vaud,Froideville,,,
Vaud,Genolier,,,
Vaud,Giez,,,
Vaud,Gilly,,,
Vaud,Gimel,,,
Vaud,Gingins,,,
Vaud,Givrins,,,
Vaud,Gland,,,
Vaud,Gollion,,,
Vaud,Goumoëns,,,
Vaud,Grancy,,,
Vaud,Grandcour,,,
Vaud,Grandevent,,,
Vaud,Grandson,,,
Vaud,Grens,,,
Vaud,Gryon,,,
Vaud,Henniez,d'Henniez,,
Vaud,Hermenches,d'Hermenches,,
Vaud,Jongny,,,
Vaud,Jorat-Menthue,,,
Vaud,Jorat-Mézières,,,
Vaud,Jouxtens-Mézery,,,
Vaud,Juriens,,,
Vaud,L'Abbaye,,,
Vaud,L'Abergement,,,
Vaud,L'Isle,,,
Vaud,La Chaux (Cossonay),,,
Vaud,La Praz,,,
Vaud,La Rippe,,,
Vaud,La Sarraz,,,
Vaud,La Tour-de-Peilz,,,
Vaud,Lausanne,,,
Vaud,Lavey-Morcles,,,
Vaud,Lavigny,,,
Vaud,Le Chenit,du Chenit,au Chenit,
Vaud,Le Lieu,du Lieu,au Lieu,
Vaud,Le Mont-sur-Lausanne,du Mont-sur-Lausanne,au Mont-sur-Lausanne,
Vaud,Le Vaud,du Vaud,au Vaud,
Vaud,Les Clées,des Clées,aux Clées,
Vaud,Leysin,,,
Vaud,Lignerolle,,,
Vaud,Lonay,,,
Vaud,Longirod,,,
Vaud,Lovatens,,,
Vaud,Lucens,,,
Vaud,Luins,,,
Vaud,Lully (VD),,,
Vaud,Lussery-Villars,,,
Vaud,Lussy-sur-Morges,,,
Vaud,Lutry,,,
Vaud,Maracon,,,
Vaud,Marchissy,,,
Vaud,Mathod,,,
Vaud,Mauborget,,,
Vaud,Mauraz,,,
Vaud,Mex (VD),,,
Vaud,Mies,,,
Vaud,Missy,,,
Vaud,Moiry,,,
Vaud,Mollens (VD),,,
Vaud,Molondin,,,
Vaud,Mont-la-Ville,,,
Vaud,Mont-sur-Rolle,,,
Vaud,Montagny-près-Yverdon,,,
Vaud,Montanaire,,,
Vaud,Montcherand,,,
Vaud,Montherod,,,
Vaud,Montilliez,,,
Vaud,Montpreveyres,,,
Vaud,Montreux,,,
Vaud,Montricher,,,
Vaud,Morges,,,
Vaud,Morrens (VD),,,
Vaud,Moudon,,,
Vaud,Mutrux,,,
Vaud,Novalles,,,
Vaud,Noville,,,
Vaud,Nyon,,,
Vaud,Ogens,d'Ogens,,
Vaud,Ollon,d'Ollons,,
Vaud,Onnens (VD),d'Onnens,,
Vaud,Oppens,d'Oppens,,
Vaud,Orbe,d'Orbe,,
Vaud,Orges,d'Orges,,
Vaud,Ormont-Dessous,d'Ormont-Dessous,,
Vaud,Ormont-Dessus,d'Ormont-Dessus,,
Vaud,Orny,d'Orny,,
Vaud,Oron,d'Oron,,
Vaud,Orzens,d'Orzens,,
Vaud,Oulens-sous-Echallens,d'Oulens-sous-Echallens,,
Vaud,Pailly,,,
Vaud,Pampigny,,,
Vaud,Paudex,,,
Vaud,Payerne,,,
Vaud,Penthalaz,,,
Vaud,Penthaz,,,
Vaud,Penthéréaz,,,
Vaud,Perroy,,,
Vaud,Poliez-Pittet,,,
Vaud,Pompaples,,,
Vaud,Pomy,,,
Vaud,Prangins,,,
Vaud,Premier,,,
Vaud,Préverenges,,,
Vaud,Prévonloup,,,
Vaud,Prilly,,,
Vaud,Provence,,,
Vaud,Puidoux,,,
Vaud,Pully,,,
Vaud,Rances,,,
Vaud,Renens (VD),,,
Vaud,Rennaz,,,
Vaud,Reverolle,,,
Vaud,Rivaz,,,
Vaud,Roche (VD),,,
Vaud,Rolle,,,
Vaud,Romainmôtier-Envy,,,
Vaud,Romanel-sur-Lausanne,,,
Vaud,Romanel-sur-Morges,,,
Vaud,Ropraz,,,
Vaud,Rossenges,,,
Vaud,Rossinière,,,
Vaud,Rougemont,,,
Vaud,Rovray,,,
Vaud,Rueyres,,,
Vaud,Saint-Barthélemy (VD),,,
Vaud,Saint-Cergue,,,
Vaud,Saint-George,,,
Vaud,Saint-Légier-La Chiésaz,,,
Vaud,Saint-Livres,,,
Vaud,Saint-Oyens,,,
Vaud,Saint-Prex,,,
Vaud,Saint-Saphorin (Lavaux),,,
Vaud,Saint-Sulpice (VD),,,
Vaud,Sainte-Croix,,,
Vaud,Saubraz,,,
Vaud,Savigny,,,
Vaud,Senarclens,,,
Vaud,Sergey,,,
Vaud,Servion,,,
Vaud,Sévery,,,
Vaud,Signy-Avenex,,,
Vaud,Suchy,,,
Vaud,Sullens,,,
Vaud,Suscévaz,,,
Vaud,Syens,,,
Vaud,Tannay,,,
Vaud,Tartegnin,,,
Vaud,Tévenon,,,
Vaud,Tolochenaz,,,
Vaud,Trélex,,,
Vaud,Trey,,,
Vaud,Treycovagnes,,,
Vaud,Treytorrens (Payerne),,,
Vaud,Ursins,d'Ursins,,
Vaud,Valbroye,,,
Vaud,Valeyres-sous-Montagny,,,
Vaud,Valeyres-sous-Rances,,,
Vaud,Valeyres-sous-Ursins,,,
Vaud,Vallorbe,,,
Vaud,Vaulion,,,
Vaud,Vaux-sur-Morges,,,
Vaud,Vevey,,,
Vaud,Veytaux,,,
Vaud,Vich,,,
Vaud,Villars-Epeney,,,
Vaud,Villars-le-Comte,,,
Vaud,Villars-le-Terroir,,,
Vaud,Villars-Sainte-Croix,,,
Vaud,Villars-sous-Yens,,,
Vaud,Villarzel,,,
Vaud,Villeneuve (VD),,,
Vaud,Vinzel,,,
Vaud,Vuarrens,,,
Vaud,Vucherens,,,
Vaud,Vufflens-la-Ville,,,
Vaud,Vufflens-le-Château,,,
Vaud,Vugelles-La Mothe,,,
Vaud,Vuiteboeuf,,,
Vaud,Vulliens,,,
Vaud,Vullierens,,,
Vaud,Vully-les-Lacs,,,
Vaud,Yens,,,
Vaud,Yverdon-les-Bains,d'Yverdon-les-Bains,,
Vaud,Yvonand,d'Yvonnand,,
Vaud,Yvorne,d'Yvorne,,
